Name,Phone,Image,Time,IsIncoming,IsOutgoing
Darshan,+91 912340001,qrc:/Image/Boy.png,2025-08-26 10:01,1,0
Dhanush,+91 912340002,qrc:/Image/Boy.png,2025-08-26 10:02,0,1
Manoj,+91 912340003,qrc:/Image/Boy.png,2025-08-26 10:03,1,0
Arjun,+91 912340004,qrc:/Image/Boy.png,2025-08-26 10:04,0,1
Spider,+91 912340005,qrc:/Image/Boy.png,2025-08-26 10:05,1,0
Ram,+91 912340006,qrc:/Image/Boy.png,2025-08-26 10:06,0,1
Ravi,+91 912340007,qrc:/Image/Boy.png,2025-08-26 10:07,1,0
Ramesh,+91 912340008,qrc:/Image/Boy.png,2025-08-26 10:08,0,1
Prathik,+91 912340009,qrc:/Image/Boy.png,2025-08-26 10:09,1,0
Girish,+91 912340010,qrc:/Image/Boy.png,2025-08-26 10:10,0,1
Chethan,+91 912340011,qrc:/Image/Boy.png,2025-08-26 10:11,1,0
Krish,+91 912340012,qrc:/Image/Boy.png,2025-08-26 10:12,0,1
Dev,+91 912340013,qrc:/Image/Boy.png,2025-08-26 10:13,1,0
Tom,+91 912340014,qrc:/Image/Boy.png,2025-08-26 10:14,0,1
Thor,+91 912340015,qrc:/Image/Boy.png,2025-08-26 10:15,1,0
Nagesh,+91 912340016,qrc:/Image/Boy.png,2025-08-26 10:16,0,1
Naveen,+91 912340017,qrc:/Image/Boy.png,2025-08-26 10:17,1,0
Bharath,+91 912340018,qrc:/Image/Boy.png,2025-08-26 10:18,0,1
Arun,+91 912340019,qrc:/Image/Boy.png,2025-08-26 10:19,1,0
Praju,+91 912340020,qrc:/Image/Boy.png,2025-08-26 10:20,0,1
